,X,Y,Z
31.6,9.405970558907323e-06,1.8028805915598527e-06,5.42679046548433e-06
31.700000000000003,9.257294673124827e-06,1.8885736572748813e-06,5.000527441578264e-06
31.8,8.54737132044177e-06,2.068748859029726e-06,4.568999760011563e-06
31.900000000000002,8.283736717929876e-06,2.1120806903360918e-06,4.595939064481333e-06
32.0,8.403273607090972e-06,1.4595569384373638e-06,4.856591572468339e-06
32.1,8.220219976117653e-06,1.5254496732864518e-06,4.902445817326391e-06
32.2,7.875896163010657e-06,1.2100430800133673e-06,5.481865744403861e-06
32.300000000000004,7.3608268811518445e-06,1.506598753310149e-06,5.392488953163324e-06
32.4,7.47004028662471e-06,2.0089753253260953e-06,4.248885850549856e-06
32.5,7.517696787711986e-06,2.41142003920594e-06,3.7417450896021596e-06
32.6,6.801304695280481e-06,2.3128162339146105e-06,3.731539348764313e-06
32.7,6.538175330235033e-06,2.7365970897334832e-06,3.7545800155898425e-06
32.800000000000004,6.240949201206513e-06,2.3824976922810703e-06,3.891270882000253e-06
32.9,6.068672369977892e-06,2.1327350222069955e-06,3.574321583744304e-06
33.0,6.100469272818818e-06,1.850268601712808e-06,3.1350915967423904e-06
33.1,6.004772951683208e-06,1.987518992742542e-06,2.6053308535816786e-06
33.2,5.967587430562294e-06,2.2270797112375436e-06,2.0726485180954114e-06
33.300000000000004,6.486652952833131e-06,2.0936974763364132e-06,1.8997773112619271e-06
33.4,6.271612426746882e-06,1.256988608251225e-06,2.244017155427303e-06
33.5,5.762569561418928e-06,1.3220520818676567e-06,2.2093493434035296e-06
33.6,5.127704718399902e-06,1.576011264735697e-06,2.3423036294262117e-06
33.7,4.9992070293889214e-06,1.8102193921183922e-06,2.20903170088419e-06
33.800000000000004,5.103756802568244e-06,1.5122119950326312e-06,2.0526662196507007e-06
33.9,4.931796025992311e-06,1.6227621554260296e-06,1.8728187395924405e-06
34.0,4.85133081306223e-06,1.0989744470861269e-06,2.282438913071439e-06
34.1,4.0992279729775505e-06,1.0672598061177416e-06,2.100190722167459e-06
34.2,4.1330126483609286e-06,8.550056019559693e-07,2.1345403383046363e-06
34.300000000000004,4.225875374746338e-06,6.81447969685423e-07,2.7370465189562187e-06
34.4,4.314469762529426e-06,4.546767022814345e-07,3.0516839507039678e-06
34.5,3.8180121480266165e-06,7.916193768254297e-07,3.228021742908418e-06
34.6,3.9492114271793654e-06,8.483005633525859e-07,3.36805340108867e-06
34.7,3.779729550253554e-06,3.4104905086480555e-07,3.2166841713128333e-06
34.800000000000004,4.213611702941556e-06,8.625543584098599e-07,2.804756685147622e-06
34.9,3.7722894300639343e-06,7.143656608748254e-07,3.3161369300339197e-06
35.0,3.5808219123332367e-06,3.6001638162825415e-07,3.2896133034672758e-06
